review_id,product,review_date,rating,review_text,true_label
REV0285,Smartwatch,2024-03-22,5,"I'm impressed with this Smartwatch, highly recommend it to everyone.",positive
REV0286,Smartwatch,2024-12-28,4,Fantastic Smartwatch! Battery life and performance are outstanding.,positive
REV0287,Smartwatch,2024-12-06,4,Absolutely love this Smartwatch! Works perfectly and exceeded my expectations.,positive
REV0288,Air Fryer,2024-01-29,4,"This Air Fryer is amazing, best purchase I've made this year.",positive
REV0289,Backpack,2024-11-26,3,"The Backpack matches the description, decent for the price.",neutral
REV0290,Backpack,2024-05-07,5,"I'm impressed with this Backpack, highly recommend it to everyone.",positive
REV0291,Smartwatch,2024-02-01,3,"The Smartwatch is okay, does what it says but nothing special.",neutral
REV0292,Backpack,2024-03-22,4,"Great Backpack, very happy with the quality and fast delivery.",positive
REV0293,Wireless Earbuds,2024-01-07,3,"The Wireless Earbuds is okay, does what it says but nothing special.",neutral
REV0294,Backpack,2024-07-30,1,"Waste of money, this Backpack broke within a week.",negative
REV0295,Smartwatch,2024-11-09,2,"Worst Smartwatch I've ever bought, completely useless.",negative
REV0296,Smartwatch,2024-11-16,2,"Terrible Smartwatch, stopped working after two days. Very disappointed.",negative
REV0297,Wireless Earbuds,2024-09-01,3,"Functional Wireless Earbuds, but the design could be improved.",neutral
REV0298,Backpack,2024-08-26,5,Fantastic Backpack! Battery life and performance are outstanding.,positive
REV0299,Wireless Earbuds,2024-04-25,1,"I hate this Wireless Earbuds, customer service was no help either.",negative
REV0300,Wireless Earbuds,2024-03-04,4,"Super comfortable and reliable Wireless Earbuds, worth every penny.",positive
